condition,frame,speed_kmh,distance_m,iso,gt_width_mm,crack_px,max_comp_len,detected
crack_d55_ISO200_V60,frame_000024.png,60,5.5,200,0.3,0,0.0,0
crack_d55_ISO200_V60,frame_000025.png,60,5.5,200,0.3,0,0.0,0
crack_d55_ISO200_V60,frame_000026.png,60,5.5,200,0.3,168,13.4,1
crack_d55_ISO200_V60,frame_000027.png,60,5.5,200,0.3,1244,59.9,1
crack_d55_ISO200_V60,frame_000028.png,60,5.5,200,0.3,3641,163.7,1
crack_d55_ISO200_V60,frame_000029.png,60,5.5,200,0.3,5159,88.8,1
crack_d55_ISO200_V60,frame_000030.png,60,5.5,200,0.3,2932,58.6,1
crack_d55_ISO200_V60,frame_000031.png,60,5.5,200,0.3,75,13.4,0
crack_d55_ISO200_V60,frame_000032.png,60,5.5,200,0.3,447,22.8,1
crack_d55_ISO200_V60,frame_000033.png,60,5.5,200,0.3,5337,319.8,1
crack_d55_ISO200_V60,frame_000034.png,60,5.5,200,0.3,8140,591.3,1
crack_d55_ISO200_V60,frame_000035.png,60,5.5,200,0.3,7331,572.0,1
crack_d55_ISO200_V60,frame_000036.png,60,5.5,200,0.3,8307,438.5,1
crack_d55_ISO200_V60,frame_000037.png,60,5.5,200,0.3,2587,88.1,1
crack_d55_ISO200_V60,frame_000038.png,60,5.5,200,0.3,0,0.0,0
crack_d55_ISO200_V60,frame_000039.png,60,5.5,200,0.3,0,0.0,0
crack_d55_ISO400_V60,frame_000038.png,60,5.5,400,0.3,5,4.2,0
crack_d55_ISO400_V60,frame_000039.png,60,5.5,400,0.3,1188,45.2,1
crack_d55_ISO400_V60,frame_000040.png,60,5.5,400,0.3,7386,171.8,1
crack_d55_ISO400_V60,frame_000041.png,60,5.5,400,0.3,12613,270.8,1
crack_d55_ISO400_V60,frame_000042.png,60,5.5,400,0.3,19317,332.8,1
crack_d55_ISO400_V60,frame_000043.png,60,5.5,400,0.3,11973,157.9,1
crack_d55_ISO400_V60,frame_000044.png,60,5.5,400,0.3,3629,46.5,1
crack_d55_ISO400_V60,frame_000045.png,60,5.5,400,0.3,3461,89.4,1
crack_d55_ISO400_V60,frame_000046.png,60,5.5,400,0.3,12489,441.7,1
crack_d55_ISO400_V60,frame_000047.png,60,5.5,400,0.3,27855,1251.3,1
crack_d55_ISO400_V60,frame_000048.png,60,5.5,400,0.3,32643,1209.8,1
crack_d55_ISO400_V60,frame_000049.png,60,5.5,400,0.3,23198,739.0,1
crack_d55_ISO400_V60,frame_000050.png,60,5.5,400,0.3,11013,302.2,1
crack_d55_ISO400_V60,frame_000051.png,60,5.5,400,0.3,546,45.3,1
crack_d55_ISO400_V60,frame_000052.png,60,5.5,400,0.3,0,0.0,0
crack_d55_ISO800_V60,frame_000028.png,60,5.5,800,0.3,4307,239.7,1
crack_d55_ISO800_V60,frame_000029.png,60,5.5,800,0.3,8614,546.8,1
crack_d55_ISO800_V60,frame_000030.png,60,5.5,800,0.3,19333,536.1,1
crack_d55_ISO800_V60,frame_000031.png,60,5.5,800,0.3,24125,573.4,1
crack_d55_ISO800_V60,frame_000032.png,60,5.5,800,0.3,25641,457.1,1
crack_d55_ISO800_V60,frame_000033.png,60,5.5,800,0.3,22953,639.0,1
crack_d55_ISO800_V60,frame_000034.png,60,5.5,800,0.3,15568,392.9,1
crack_d55_ISO800_V60,frame_000035.png,60,5.5,800,0.3,15234,647.3,1
crack_d55_ISO800_V60,frame_000036.png,60,5.5,800,0.3,28491,832.2,1
crack_d55_ISO800_V60,frame_000037.png,60,5.5,800,0.3,29738,912.7,1
crack_d55_ISO800_V60,frame_000038.png,60,5.5,800,0.3,29368,918.1,1
crack_d55_ISO800_V60,frame_000039.png,60,5.5,800,0.3,31511,1055.4,1
crack_d55_ISO800_V60,frame_000040.png,60,5.5,800,0.3,20160,764.0,1
crack_d55_ISO800_V60,frame_000041.png,60,5.5,800,0.3,5922,406.4,1
crack_d55_ISO800_V60,frame_000042.png,60,5.5,800,0.3,0,0.0,0
crack_d55_ISO1600_V60,frame_000026.png,60,5.5,1600,0.3,0,0.0,0
crack_d55_ISO1600_V60,frame_000027.png,60,5.5,1600,0.3,619,51.9,1
crack_d55_ISO1600_V60,frame_000028.png,60,5.5,1600,0.3,1106,35.4,1
crack_d55_ISO1600_V60,frame_000029.png,60,5.5,1600,0.3,2632,63.5,1
crack_d55_ISO1600_V60,frame_000030.png,60,5.5,1600,0.3,7263,160.4,1
crack_d55_ISO1600_V60,frame_000031.png,60,5.5,1600,0.3,7948,157.2,1
crack_d55_ISO1600_V60,frame_000032.png,60,5.5,1600,0.3,5709,109.6,1
crack_d55_ISO1600_V60,frame_000033.png,60,5.5,1600,0.3,7780,299.3,1
crack_d55_ISO1600_V60,frame_000034.png,60,5.5,1600,0.3,9749,637.3,1
crack_d55_ISO1600_V60,frame_000035.png,60,5.5,1600,0.3,9208,593.4,1
crack_d55_ISO1600_V60,frame_000036.png,60,5.5,1600,0.3,9501,630.8,1
crack_d55_ISO1600_V60,frame_000037.png,60,5.5,1600,0.3,9779,391.4,1
crack_d55_ISO1600_V60,frame_000038.png,60,5.5,1600,0.3,9255,452.6,1
crack_d55_ISO1600_V60,frame_000039.png,60,5.5,1600,0.3,8287,304.9,1
crack_d55_ISO1600_V60,frame_000040.png,60,5.5,1600,0.3,1485,60.4,1
crack_d65_ISO100_V60,frame_000011.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000012.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000013.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000014.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000015.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000016.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000017.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000018.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000019.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000020.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000021.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000022.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000023.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000024.png,60,6.5,100,0.3,0,0.0,0
crack_d65_ISO100_V60,frame_000025.png,60,6.5,100,0.3,0,0.0,0
