metric,group,width_mm,pod
L_90,high,0.8500000000000001,0.9275234833725965
L_90,high,0.8600000000000001,0.9290927521531815
L_90,high,0.8700000000000001,0.9306305841788748
L_90,high,0.8800000000000001,0.932137499914228
L_90,high,0.89,0.9336140159527759
L_90,high,0.9,0.9350606448179779
L_90,high,0.91,0.9364778947768976
L_90,high,0.92,0.937866269666224
L_90,high,0.93,0.9392262687302465
L_90,high,0.9400000000000001,0.9405583864703938
L_90,high,0.9500000000000001,0.9418631125059495
L_90,high,0.9600000000000001,0.9431409314455592
L_90,high,0.9700000000000001,0.9443923227691505
L_90,high,0.9800000000000001,0.945617760719885
L_90,high,0.9900000000000001,0.9468177142057719
L_90,high,1.0,0.947992646710577
L_90,high,1.01,0.9491430162136625
L_90,high,1.02,0.950269275118403
L_90,high,1.03,0.9513718701888291
L_90,high,1.04,0.9524512424941545
L_90,high,1.05,0.9535078273608512
L_90,high,1.06,0.9545420543319451
L_90,high,1.07,0.955554347133209
L_90,high,1.08,0.9565451236459414
L_90,high,1.09,0.9575147958860251
L_90,high,1.1,0.9584637699889652
L_90,high,1.11,0.9593924462006215
L_90,high,1.12,0.9603012188733481
L_90,high,1.1300000000000001,0.961190476467271
L_90,high,1.1400000000000001,0.9620606015564336
L_90,high,1.1500000000000001,0.962911970839557
L_90,high,1.1600000000000001,0.9637449551551618
L_90,high,1.1700000000000002,0.9645599195008121
L_90,high,1.1800000000000002,0.9653572230562455
L_90,high,1.1900000000000002,0.9661372192101674
L_90,high,1.2000000000000002,0.9669002555904876
L_90,high,1.21,0.9676466740977897
L_90,high,1.22,0.968376810941833
L_90,high,1.23,0.9690909966808885
L_90,high,1.24,0.969789556263722
L_90,high,1.25,0.9704728090740451
L_90,high,1.26,0.9711410689772576
L_90,high,1.27,0.971794644369316
L_90,high,1.28,0.9724338382275673
L_90,high,1.29,0.9730589481633977
L_90,high,1.3,0.9736702664765414
L_90,high,1.31,0.9742680802109174
L_90,high,1.32,0.9748526712118549
L_90,high,1.33,0.975424316184579
L_90,high,1.34,0.9759832867538333
L_90,high,1.35,0.9765298495245235
L_90,high,1.36,0.9770642661432696
L_90,high,1.37,0.9775867933607587
L_90,high,1.3800000000000001,0.9780976830947975
L_90,high,1.3900000000000001,0.9785971824939691
L_90,high,1.4000000000000001,0.9790855340018009
L_90,high,1.4100000000000001,0.9795629754213556
L_90,high,1.4200000000000002,0.9800297399801652
L_90,high,1.4300000000000002,0.9804860563954274
L_90,high,1.4400000000000002,0.9809321489393897
L_90,high,1.4500000000000002,0.9813682375048551
L_90,high,1.46,0.9817945376707352
L_90,high,1.47,0.9822112607675978
L_90,high,1.48,0.9826186139431411
L_90,high,1.49,0.9830168002275448
L_90,high,1.5,0.9834060185986427
L_90,low,0.05,0.3074566867705382
L_90,low,0.060000000000000005,0.3141255029063467
L_90,low,0.07,0.32087194834873983
L_90,low,0.08,0.3276940603589751
L_90,low,0.09,0.3345897577885729
L_90,low,0.1,0.341556842286043
L_90,low,0.11,0.3485929998665609
L_90,low,0.12000000000000001,0.3556958028492537
L_90,low,0.13,0.3628627121649541
L_90,low,0.14,0.3700910800353922
L_90,low,0.15000000000000002,0.3773781530228319
L_90,low,0.16,0.38472107544713935
L_90,low,0.16999999999999998,0.39211689316520404
L_90,low,0.18,0.3995625577055378
L_90,low,0.19,0.40705493074877597
L_90,low,0.2,0.41459078894270557
L_90,low,0.21000000000000002,0.4221668290383764
L_90,low,0.22000000000000003,0.4297796733318248
L_90,low,0.22999999999999998,0.4374258753939779
L_90,low,0.24,0.4451019260694274
L_90,low,0.25,0.4528042597229838
L_90,low,0.26,0.46052926071126427
L_90,low,0.27,0.46827327005503877
L_90,low,0.28,0.47603259228669403
L_90,low,0.29,0.483803502445958
L_90,low,0.3,0.4915822531960064
L_90,low,0.31,0.49936508203122665
L_90,low,0.32,0.5071482185472731
L_90,low,0.33,0.514927891743609
L_90,low,0.33999999999999997,0.5227003373285039
L_90,low,0.35,0.5304618049964308
L_90,low,0.36,0.5382085656480127
L_90,low,0.37,0.5459369185230603
L_90,low,0.38,0.5536431982178659
L_90,low,0.39,0.561323781558716
L_90,low,0.4,0.5689750943045921
L_90,low,0.41,0.5765936176532049
L_90,low,0.42,0.5841758945258569
L_90,low,0.43,0.5917185356081237
L_90,low,0.44,0.5992182251249898
L_90,low,0.45,0.6066717263308267
L_90,low,0.46,0.6140758866964714
L_90,low,0.47,0.6214276427776091
L_90,low,0.48,0.6287240247506805
L_90,low,0.49,0.6359621606046023
L_90,low,0.5,0.643139279978677
L_90,low,0.51,0.6502527176391787
L_90,low,0.52,0.657299916589193
L_90,low,0.53,0.6642784308083646
L_90,low,0.54,0.6711859276212331
L_90,low,0.55,0.6780201896948116
L_90,low,0.56,0.6847791166679646
L_90,low,0.5700000000000001,0.6914607264169563
L_90,low,0.5800000000000001,0.6980631559632618
L_90,low,0.5900000000000001,0.7045846620313511
L_90,low,0.6000000000000001,0.7110236212656483
L_90,low,0.6100000000000001,0.7173785301172549
L_90,low,0.6200000000000001,0.7236480044122703
L_90,low,0.63,0.7298307786146617
L_90,low,0.64,0.7359257047976292
L_90,low,0.65,0.7419317513382503
L_90,low,0.66,0.747848001350918
L_90,low,0.67,0.7536736508756585
L_90,low,0.68,0.7594080068378802
L_90,low,0.6900000000000001,0.7650504847964239
L_90,low,0.7000000000000001,0.7706006064969959
L_90,low,0.7100000000000001,0.77605799724816
L_90,low,0.7200000000000001,0.781422383137036
L_90,low,0.7300000000000001,0.7866935881017441
L_90,low,0.7400000000000001,0.7918715308774096
L_90,low,0.7500000000000001,0.7969562218322441
